!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2050High_10y24h_Z5_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,3.699
01/01/2099 00:10:00,2.942
01/01/2099 00:15:00,2.830
01/01/2099 00:20:00,2.718
01/01/2099 00:25:00,2.606
01/01/2099 00:30:00,2.522
01/01/2099 00:35:00,2.522
01/01/2099 00:40:00,2.662
01/01/2099 00:45:00,2.774
01/01/2099 00:50:00,2.886
01/01/2099 00:55:00,2.998
01/01/2099 01:00:00,3.251
01/01/2099 01:05:00,3.923
01/01/2099 01:10:00,4.063
01/01/2099 01:15:00,4.175
01/01/2099 01:20:00,4.288
01/01/2099 01:25:00,4.400
01/01/2099 01:30:00,4.428
01/01/2099 01:35:00,4.203
01/01/2099 01:40:00,4.203
01/01/2099 01:45:00,4.091
01/01/2099 01:50:00,4.232
01/01/2099 01:55:00,4.288
01/01/2099 02:00:00,4.232
01/01/2099 02:05:00,4.344
01/01/2099 02:10:00,4.484
01/01/2099 02:15:00,4.484
01/01/2099 02:20:00,4.568
01/01/2099 02:25:00,4.568
01/01/2099 02:30:00,4.484
01/01/2099 02:35:00,4.484
01/01/2099 02:40:00,4.484
01/01/2099 02:45:00,4.484
01/01/2099 02:50:00,4.484
01/01/2099 02:55:00,4.484
01/01/2099 03:00:00,4.456
01/01/2099 03:05:00,4.344
01/01/2099 03:10:00,4.484
01/01/2099 03:15:00,4.484
01/01/2099 03:20:00,4.484
01/01/2099 03:25:00,4.540
01/01/2099 03:30:00,4.680
01/01/2099 03:35:00,4.904
01/01/2099 03:40:00,5.044
01/01/2099 03:45:00,4.932
01/01/2099 03:50:00,5.072
01/01/2099 03:55:00,5.184
01/01/2099 04:00:00,5.184
01/01/2099 04:05:00,5.184
01/01/2099 04:10:00,5.184
01/01/2099 04:15:00,5.296
01/01/2099 04:20:00,5.408
01/01/2099 04:25:00,5.465
01/01/2099 04:30:00,5.493
01/01/2099 04:35:00,5.605
01/01/2099 04:40:00,5.745
01/01/2099 04:45:00,5.857
01/01/2099 04:50:00,5.969
01/01/2099 04:55:00,6.081
01/01/2099 05:00:00,6.221
01/01/2099 05:05:00,6.445
01/01/2099 05:10:00,6.585
01/01/2099 05:15:00,6.698
01/01/2099 05:20:00,6.810
01/01/2099 05:25:00,6.922
01/01/2099 05:30:00,6.978
01/01/2099 05:35:00,6.866
01/01/2099 05:40:00,7.146
01/01/2099 05:45:00,7.258
01/01/2099 05:50:00,7.370
01/01/2099 05:55:00,7.538
01/01/2099 06:00:00,7.847
01/01/2099 06:05:00,8.407
01/01/2099 06:10:00,8.547
01/01/2099 06:15:00,8.659
01/01/2099 06:20:00,8.771
01/01/2099 06:25:00,8.883
01/01/2099 06:30:00,8.827
01/01/2099 06:35:00,8.267
01/01/2099 06:40:00,8.267
01/01/2099 06:45:00,8.491
01/01/2099 06:50:00,8.799
01/01/2099 06:55:00,9.136
01/01/2099 07:00:00,9.528
01/01/2099 07:05:00,10.088
01/01/2099 07:10:00,10.789
01/01/2099 07:15:00,11.462
01/01/2099 07:20:00,12.218
01/01/2099 07:25:00,13.059
01/01/2099 07:30:00,16.982
01/01/2099 07:35:00,29.985
01/01/2099 07:40:00,32.647
01/01/2099 07:45:00,33.544
01/01/2099 07:50:00,33.516
01/01/2099 07:55:00,32.563
01/01/2099 08:00:00,29.144
01/01/2099 08:05:00,20.177
01/01/2099 08:10:00,17.234
01/01/2099 08:15:00,15.329
01/01/2099 08:20:00,13.759
01/01/2099 08:25:00,12.526
01/01/2099 08:30:00,11.938
01/01/2099 08:35:00,12.610
01/01/2099 08:40:00,11.910
01/01/2099 08:45:00,11.349
01/01/2099 08:50:00,10.789
01/01/2099 08:55:00,10.228
01/01/2099 09:00:00,9.696
01/01/2099 09:05:00,9.248
01/01/2099 09:10:00,8.827
01/01/2099 09:15:00,8.491
01/01/2099 09:20:00,8.155
01/01/2099 09:25:00,7.818
01/01/2099 09:30:00,7.622
01/01/2099 09:35:00,7.847
01/01/2099 09:40:00,7.847
01/01/2099 09:45:00,7.622
01/01/2099 09:50:00,7.398
01/01/2099 09:55:00,7.286
01/01/2099 10:00:00,7.230
01/01/2099 10:05:00,7.006
01/01/2099 10:10:00,6.726
01/01/2099 10:15:00,6.726
01/01/2099 10:20:00,6.726
01/01/2099 10:25:00,6.613
01/01/2099 10:30:00,6.501
01/01/2099 10:35:00,6.726
01/01/2099 10:40:00,6.445
01/01/2099 10:45:00,6.445
01/01/2099 10:50:00,6.445
01/01/2099 10:55:00,6.333
01/01/2099 11:00:00,6.165
01/01/2099 11:05:00,6.165
01/01/2099 11:10:00,5.885
01/01/2099 11:15:00,5.885
01/01/2099 11:20:00,5.885
01/01/2099 11:25:00,5.773
01/01/2099 11:30:00,5.577
01/01/2099 11:35:00,5.465
01/01/2099 11:40:00,5.324
01/01/2099 11:45:00,5.324
01/01/2099 11:50:00,5.324
01/01/2099 11:55:00,5.268
01/01/2099 12:00:00,5.184
01/01/2099 12:05:00,5.184
01/01/2099 12:10:00,5.324
