!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2050High_2y24h_Z1N_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,2.197
01/01/2099 00:10:00,1.748
01/01/2099 00:15:00,1.681
01/01/2099 00:20:00,1.615
01/01/2099 00:25:00,1.548
01/01/2099 00:30:00,1.498
01/01/2099 00:35:00,1.498
01/01/2099 00:40:00,1.581
01/01/2099 00:45:00,1.648
01/01/2099 00:50:00,1.714
01/01/2099 00:55:00,1.781
01/01/2099 01:00:00,1.931
01/01/2099 01:05:00,2.330
01/01/2099 01:10:00,2.414
01/01/2099 01:15:00,2.480
01/01/2099 01:20:00,2.547
01/01/2099 01:25:00,2.613
01/01/2099 01:30:00,2.630
01/01/2099 01:35:00,2.497
01/01/2099 01:40:00,2.497
01/01/2099 01:45:00,2.430
01/01/2099 01:50:00,2.513
01/01/2099 01:55:00,2.547
01/01/2099 02:00:00,2.513
01/01/2099 02:05:00,2.580
01/01/2099 02:10:00,2.663
01/01/2099 02:15:00,2.663
01/01/2099 02:20:00,2.713
01/01/2099 02:25:00,2.713
01/01/2099 02:30:00,2.663
01/01/2099 02:35:00,2.663
01/01/2099 02:40:00,2.663
01/01/2099 02:45:00,2.663
01/01/2099 02:50:00,2.663
01/01/2099 02:55:00,2.663
01/01/2099 03:00:00,2.647
01/01/2099 03:05:00,2.580
01/01/2099 03:10:00,2.663
01/01/2099 03:15:00,2.663
01/01/2099 03:20:00,2.663
01/01/2099 03:25:00,2.697
01/01/2099 03:30:00,2.780
01/01/2099 03:35:00,2.913
01/01/2099 03:40:00,2.996
01/01/2099 03:45:00,2.930
01/01/2099 03:50:00,3.013
01/01/2099 03:55:00,3.079
01/01/2099 04:00:00,3.079
01/01/2099 04:05:00,3.079
01/01/2099 04:10:00,3.079
01/01/2099 04:15:00,3.146
01/01/2099 04:20:00,3.213
01/01/2099 04:25:00,3.246
01/01/2099 04:30:00,3.262
01/01/2099 04:35:00,3.329
01/01/2099 04:40:00,3.412
01/01/2099 04:45:00,3.479
01/01/2099 04:50:00,3.545
01/01/2099 04:55:00,3.612
01/01/2099 05:00:00,3.695
01/01/2099 05:05:00,3.828
01/01/2099 05:10:00,3.912
01/01/2099 05:15:00,3.978
01/01/2099 05:20:00,4.045
01/01/2099 05:25:00,4.111
01/01/2099 05:30:00,4.145
01/01/2099 05:35:00,4.078
01/01/2099 05:40:00,4.245
01/01/2099 05:45:00,4.311
01/01/2099 05:50:00,4.378
01/01/2099 05:55:00,4.478
01/01/2099 06:00:00,4.661
01/01/2099 06:05:00,4.994
01/01/2099 06:10:00,5.077
01/01/2099 06:15:00,5.143
01/01/2099 06:20:00,5.210
01/01/2099 06:25:00,5.277
01/01/2099 06:30:00,5.243
01/01/2099 06:35:00,4.910
01/01/2099 06:40:00,4.910
01/01/2099 06:45:00,5.044
01/01/2099 06:50:00,5.227
01/01/2099 06:55:00,5.426
01/01/2099 07:00:00,5.659
01/01/2099 07:05:00,5.992
01/01/2099 07:10:00,6.408
01/01/2099 07:15:00,6.808
01/01/2099 07:20:00,7.257
01/01/2099 07:25:00,7.757
01/01/2099 07:30:00,10.087
01/01/2099 07:35:00,17.810
01/01/2099 07:40:00,19.392
01/01/2099 07:45:00,19.924
01/01/2099 07:50:00,19.908
01/01/2099 07:55:00,19.342
01/01/2099 08:00:00,17.311
01/01/2099 08:05:00,11.985
01/01/2099 08:10:00,10.237
01/01/2099 08:15:00,9.105
01/01/2099 08:20:00,8.173
01/01/2099 08:25:00,7.440
01/01/2099 08:30:00,7.091
01/01/2099 08:35:00,7.490
01/01/2099 08:40:00,7.074
01/01/2099 08:45:00,6.741
01/01/2099 08:50:00,6.408
01/01/2099 08:55:00,6.076
01/01/2099 09:00:00,5.759
01/01/2099 09:05:00,5.493
01/01/2099 09:10:00,5.243
01/01/2099 09:15:00,5.044
01/01/2099 09:20:00,4.844
01/01/2099 09:25:00,4.644
01/01/2099 09:30:00,4.528
01/01/2099 09:35:00,4.661
01/01/2099 09:40:00,4.661
01/01/2099 09:45:00,4.528
01/01/2099 09:50:00,4.394
01/01/2099 09:55:00,4.328
01/01/2099 10:00:00,4.294
01/01/2099 10:05:00,4.161
01/01/2099 10:10:00,3.995
01/01/2099 10:15:00,3.995
01/01/2099 10:20:00,3.995
01/01/2099 10:25:00,3.928
01/01/2099 10:30:00,3.862
01/01/2099 10:35:00,3.995
01/01/2099 10:40:00,3.828
01/01/2099 10:45:00,3.828
01/01/2099 10:50:00,3.828
01/01/2099 10:55:00,3.762
01/01/2099 11:00:00,3.662
01/01/2099 11:05:00,3.662
01/01/2099 11:10:00,3.495
01/01/2099 11:15:00,3.495
01/01/2099 11:20:00,3.495
01/01/2099 11:25:00,3.429
01/01/2099 11:30:00,3.312
01/01/2099 11:35:00,3.246
01/01/2099 11:40:00,3.163
01/01/2099 11:45:00,3.163
01/01/2099 11:50:00,3.163
01/01/2099 11:55:00,3.129
01/01/2099 12:00:00,3.079
01/01/2099 12:05:00,3.079
01/01/2099 12:10:00,3.163
