!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2050High_2y24h_Z1S_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,1.999
01/01/2099 00:10:00,1.590
01/01/2099 00:15:00,1.529
01/01/2099 00:20:00,1.469
01/01/2099 00:25:00,1.408
01/01/2099 00:30:00,1.363
01/01/2099 00:35:00,1.363
01/01/2099 00:40:00,1.439
01/01/2099 00:45:00,1.499
01/01/2099 00:50:00,1.560
01/01/2099 00:55:00,1.620
01/01/2099 01:00:00,1.757
01/01/2099 01:05:00,2.120
01/01/2099 01:10:00,2.196
01/01/2099 01:15:00,2.256
01/01/2099 01:20:00,2.317
01/01/2099 01:25:00,2.378
01/01/2099 01:30:00,2.393
01/01/2099 01:35:00,2.272
01/01/2099 01:40:00,2.272
01/01/2099 01:45:00,2.211
01/01/2099 01:50:00,2.287
01/01/2099 01:55:00,2.317
01/01/2099 02:00:00,2.287
01/01/2099 02:05:00,2.347
01/01/2099 02:10:00,2.423
01/01/2099 02:15:00,2.423
01/01/2099 02:20:00,2.468
01/01/2099 02:25:00,2.468
01/01/2099 02:30:00,2.423
01/01/2099 02:35:00,2.423
01/01/2099 02:40:00,2.423
01/01/2099 02:45:00,2.423
01/01/2099 02:50:00,2.423
01/01/2099 02:55:00,2.423
01/01/2099 03:00:00,2.408
01/01/2099 03:05:00,2.347
01/01/2099 03:10:00,2.423
01/01/2099 03:15:00,2.423
01/01/2099 03:20:00,2.423
01/01/2099 03:25:00,2.453
01/01/2099 03:30:00,2.529
01/01/2099 03:35:00,2.650
01/01/2099 03:40:00,2.726
01/01/2099 03:45:00,2.665
01/01/2099 03:50:00,2.741
01/01/2099 03:55:00,2.802
01/01/2099 04:00:00,2.802
01/01/2099 04:05:00,2.802
01/01/2099 04:10:00,2.802
01/01/2099 04:15:00,2.862
01/01/2099 04:20:00,2.923
01/01/2099 04:25:00,2.953
01/01/2099 04:30:00,2.968
01/01/2099 04:35:00,3.029
01/01/2099 04:40:00,3.104
01/01/2099 04:45:00,3.165
01/01/2099 04:50:00,3.226
01/01/2099 04:55:00,3.286
01/01/2099 05:00:00,3.362
01/01/2099 05:05:00,3.483
01/01/2099 05:10:00,3.559
01/01/2099 05:15:00,3.619
01/01/2099 05:20:00,3.680
01/01/2099 05:25:00,3.740
01/01/2099 05:30:00,3.771
01/01/2099 05:35:00,3.710
01/01/2099 05:40:00,3.862
01/01/2099 05:45:00,3.922
01/01/2099 05:50:00,3.983
01/01/2099 05:55:00,4.074
01/01/2099 06:00:00,4.240
01/01/2099 06:05:00,4.543
01/01/2099 06:10:00,4.619
01/01/2099 06:15:00,4.679
01/01/2099 06:20:00,4.740
01/01/2099 06:25:00,4.800
01/01/2099 06:30:00,4.770
01/01/2099 06:35:00,4.467
01/01/2099 06:40:00,4.467
01/01/2099 06:45:00,4.588
01/01/2099 06:50:00,4.755
01/01/2099 06:55:00,4.937
01/01/2099 07:00:00,5.149
01/01/2099 07:05:00,5.452
01/01/2099 07:10:00,5.830
01/01/2099 07:15:00,6.194
01/01/2099 07:20:00,6.603
01/01/2099 07:25:00,7.057
01/01/2099 07:30:00,9.177
01/01/2099 07:35:00,16.203
01/01/2099 07:40:00,17.642
01/01/2099 07:45:00,18.127
01/01/2099 07:50:00,18.112
01/01/2099 07:55:00,17.597
01/01/2099 08:00:00,15.749
01/01/2099 08:05:00,10.903
01/01/2099 08:10:00,9.313
01/01/2099 08:15:00,8.283
01/01/2099 08:20:00,7.435
01/01/2099 08:25:00,6.769
01/01/2099 08:30:00,6.451
01/01/2099 08:35:00,6.815
01/01/2099 08:40:00,6.436
01/01/2099 08:45:00,6.133
01/01/2099 08:50:00,5.830
01/01/2099 08:55:00,5.527
01/01/2099 09:00:00,5.240
01/01/2099 09:05:00,4.997
01/01/2099 09:10:00,4.770
01/01/2099 09:15:00,4.588
01/01/2099 09:20:00,4.407
01/01/2099 09:25:00,4.225
01/01/2099 09:30:00,4.119
01/01/2099 09:35:00,4.240
01/01/2099 09:40:00,4.240
01/01/2099 09:45:00,4.119
01/01/2099 09:50:00,3.998
01/01/2099 09:55:00,3.937
01/01/2099 10:00:00,3.907
01/01/2099 10:05:00,3.786
01/01/2099 10:10:00,3.634
01/01/2099 10:15:00,3.634
01/01/2099 10:20:00,3.634
01/01/2099 10:25:00,3.574
01/01/2099 10:30:00,3.513
01/01/2099 10:35:00,3.634
01/01/2099 10:40:00,3.483
01/01/2099 10:45:00,3.483
01/01/2099 10:50:00,3.483
01/01/2099 10:55:00,3.422
01/01/2099 11:00:00,3.332
01/01/2099 11:05:00,3.332
01/01/2099 11:10:00,3.180
01/01/2099 11:15:00,3.180
01/01/2099 11:20:00,3.180
01/01/2099 11:25:00,3.120
01/01/2099 11:30:00,3.014
01/01/2099 11:35:00,2.953
01/01/2099 11:40:00,2.877
01/01/2099 11:45:00,2.877
01/01/2099 11:50:00,2.877
01/01/2099 11:55:00,2.847
01/01/2099 12:00:00,2.802
01/01/2099 12:05:00,2.802
01/01/2099 12:10:00,2.877
