!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2100Moderate_10y24h_Z1S_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,3.059
01/01/2099 00:10:00,2.433
01/01/2099 00:15:00,2.340
01/01/2099 00:20:00,2.248
01/01/2099 00:25:00,2.155
01/01/2099 00:30:00,2.085
01/01/2099 00:35:00,2.085
01/01/2099 00:40:00,2.201
01/01/2099 00:45:00,2.294
01/01/2099 00:50:00,2.387
01/01/2099 00:55:00,2.479
01/01/2099 01:00:00,2.688
01/01/2099 01:05:00,3.244
01/01/2099 01:10:00,3.360
01/01/2099 01:15:00,3.453
01/01/2099 01:20:00,3.545
01/01/2099 01:25:00,3.638
01/01/2099 01:30:00,3.661
01/01/2099 01:35:00,3.476
01/01/2099 01:40:00,3.476
01/01/2099 01:45:00,3.383
01/01/2099 01:50:00,3.499
01/01/2099 01:55:00,3.545
01/01/2099 02:00:00,3.499
01/01/2099 02:05:00,3.592
01/01/2099 02:10:00,3.708
01/01/2099 02:15:00,3.708
01/01/2099 02:20:00,3.777
01/01/2099 02:25:00,3.777
01/01/2099 02:30:00,3.708
01/01/2099 02:35:00,3.708
01/01/2099 02:40:00,3.708
01/01/2099 02:45:00,3.708
01/01/2099 02:50:00,3.708
01/01/2099 02:55:00,3.708
01/01/2099 03:00:00,3.684
01/01/2099 03:05:00,3.592
01/01/2099 03:10:00,3.708
01/01/2099 03:15:00,3.708
01/01/2099 03:20:00,3.708
01/01/2099 03:25:00,3.754
01/01/2099 03:30:00,3.870
01/01/2099 03:35:00,4.055
01/01/2099 03:40:00,4.171
01/01/2099 03:45:00,4.078
01/01/2099 03:50:00,4.194
01/01/2099 03:55:00,4.287
01/01/2099 04:00:00,4.287
01/01/2099 04:05:00,4.287
01/01/2099 04:10:00,4.287
01/01/2099 04:15:00,4.380
01/01/2099 04:20:00,4.472
01/01/2099 04:25:00,4.519
01/01/2099 04:30:00,4.542
01/01/2099 04:35:00,4.634
01/01/2099 04:40:00,4.750
01/01/2099 04:45:00,4.843
01/01/2099 04:50:00,4.936
01/01/2099 04:55:00,5.028
01/01/2099 05:00:00,5.144
01/01/2099 05:05:00,5.330
01/01/2099 05:10:00,5.445
01/01/2099 05:15:00,5.538
01/01/2099 05:20:00,5.631
01/01/2099 05:25:00,5.723
01/01/2099 05:30:00,5.770
01/01/2099 05:35:00,5.677
01/01/2099 05:40:00,5.909
01/01/2099 05:45:00,6.002
01/01/2099 05:50:00,6.094
01/01/2099 05:55:00,6.233
01/01/2099 06:00:00,6.488
01/01/2099 06:05:00,6.952
01/01/2099 06:10:00,7.067
01/01/2099 06:15:00,7.160
01/01/2099 06:20:00,7.253
01/01/2099 06:25:00,7.346
01/01/2099 06:30:00,7.299
01/01/2099 06:35:00,6.836
01/01/2099 06:40:00,6.836
01/01/2099 06:45:00,7.021
01/01/2099 06:50:00,7.276
01/01/2099 06:55:00,7.554
01/01/2099 07:00:00,7.878
01/01/2099 07:05:00,8.342
01/01/2099 07:10:00,8.921
01/01/2099 07:15:00,9.477
01/01/2099 07:20:00,10.103
01/01/2099 07:25:00,10.798
01/01/2099 07:30:00,14.042
01/01/2099 07:35:00,24.794
01/01/2099 07:40:00,26.995
01/01/2099 07:45:00,27.737
01/01/2099 07:50:00,27.714
01/01/2099 07:55:00,26.926
01/01/2099 08:00:00,24.099
01/01/2099 08:05:00,16.684
01/01/2099 08:10:00,14.251
01/01/2099 08:15:00,12.675
01/01/2099 08:20:00,11.377
01/01/2099 08:25:00,10.358
01/01/2099 08:30:00,9.871
01/01/2099 08:35:00,10.427
01/01/2099 08:40:00,9.848
01/01/2099 08:45:00,9.385
01/01/2099 08:50:00,8.921
01/01/2099 08:55:00,8.458
01/01/2099 09:00:00,8.018
01/01/2099 09:05:00,7.647
01/01/2099 09:10:00,7.299
01/01/2099 09:15:00,7.021
01/01/2099 09:20:00,6.743
01/01/2099 09:25:00,6.465
01/01/2099 09:30:00,6.303
01/01/2099 09:35:00,6.488
01/01/2099 09:40:00,6.488
01/01/2099 09:45:00,6.303
01/01/2099 09:50:00,6.117
01/01/2099 09:55:00,6.025
01/01/2099 10:00:00,5.978
01/01/2099 10:05:00,5.793
01/01/2099 10:10:00,5.561
01/01/2099 10:15:00,5.561
01/01/2099 10:20:00,5.561
01/01/2099 10:25:00,5.469
01/01/2099 10:30:00,5.376
01/01/2099 10:35:00,5.561
01/01/2099 10:40:00,5.330
01/01/2099 10:45:00,5.330
01/01/2099 10:50:00,5.330
01/01/2099 10:55:00,5.237
01/01/2099 11:00:00,5.098
01/01/2099 11:05:00,5.098
01/01/2099 11:10:00,4.866
01/01/2099 11:15:00,4.866
01/01/2099 11:20:00,4.866
01/01/2099 11:25:00,4.773
01/01/2099 11:30:00,4.611
01/01/2099 11:35:00,4.519
01/01/2099 11:40:00,4.403
01/01/2099 11:45:00,4.403
01/01/2099 11:50:00,4.403
01/01/2099 11:55:00,4.356
01/01/2099 12:00:00,4.287
01/01/2099 12:05:00,4.287
01/01/2099 12:10:00,4.403
