!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_Current_10y1h_Z1N_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,0.487
01/01/2099 00:10:00,0.388
01/01/2099 00:15:00,0.373
01/01/2099 00:20:00,0.358
01/01/2099 00:25:00,0.343
01/01/2099 00:30:00,0.332
01/01/2099 00:35:00,0.332
01/01/2099 00:40:00,0.351
01/01/2099 00:45:00,0.366
01/01/2099 00:50:00,0.380
01/01/2099 00:55:00,0.395
01/01/2099 01:00:00,0.428
01/01/2099 01:05:00,0.517
01/01/2099 01:10:00,0.535
01/01/2099 01:15:00,0.550
01/01/2099 01:20:00,0.565
01/01/2099 01:25:00,0.580
01/01/2099 01:30:00,0.583
01/01/2099 01:35:00,0.554
01/01/2099 01:40:00,0.554
01/01/2099 01:45:00,0.539
01/01/2099 01:50:00,0.558
01/01/2099 01:55:00,0.565
01/01/2099 02:00:00,0.558
01/01/2099 02:05:00,0.572
01/01/2099 02:10:00,0.591
01/01/2099 02:15:00,0.591
01/01/2099 02:20:00,0.602
01/01/2099 02:25:00,0.602
01/01/2099 02:30:00,0.591
01/01/2099 02:35:00,0.591
01/01/2099 02:40:00,0.591
01/01/2099 02:45:00,0.591
01/01/2099 02:50:00,0.591
01/01/2099 02:55:00,0.591
01/01/2099 03:00:00,0.587
01/01/2099 03:05:00,0.572
01/01/2099 03:10:00,0.591
01/01/2099 03:15:00,0.591
01/01/2099 03:20:00,0.591
01/01/2099 03:25:00,0.598
01/01/2099 03:30:00,0.617
01/01/2099 03:35:00,0.646
01/01/2099 03:40:00,0.665
01/01/2099 03:45:00,0.650
01/01/2099 03:50:00,0.668
01/01/2099 03:55:00,0.683
01/01/2099 04:00:00,0.683
01/01/2099 04:05:00,0.683
01/01/2099 04:10:00,0.683
01/01/2099 04:15:00,0.698
01/01/2099 04:20:00,0.713
01/01/2099 04:25:00,0.720
01/01/2099 04:30:00,0.724
01/01/2099 04:35:00,0.738
01/01/2099 04:40:00,0.757
01/01/2099 04:45:00,0.772
01/01/2099 04:50:00,0.786
01/01/2099 04:55:00,0.801
01/01/2099 05:00:00,0.820
01/01/2099 05:05:00,0.849
01/01/2099 05:10:00,0.868
01/01/2099 05:15:00,0.882
01/01/2099 05:20:00,0.897
01/01/2099 05:25:00,0.912
01/01/2099 05:30:00,0.919
01/01/2099 05:35:00,0.905
01/01/2099 05:40:00,0.942
01/01/2099 05:45:00,0.956
01/01/2099 05:50:00,0.971
01/01/2099 05:55:00,0.993
01/01/2099 06:00:00,1.034
01/01/2099 06:05:00,1.108
01/01/2099 06:10:00,1.126
01/01/2099 06:15:00,1.141
01/01/2099 06:20:00,1.156
01/01/2099 06:25:00,1.170
01/01/2099 06:30:00,1.163
01/01/2099 06:35:00,1.089
01/01/2099 06:40:00,1.089
01/01/2099 06:45:00,1.119
01/01/2099 06:50:00,1.159
01/01/2099 06:55:00,1.204
01/01/2099 07:00:00,1.255
01/01/2099 07:05:00,1.329
01/01/2099 07:10:00,1.422
01/01/2099 07:15:00,1.510
01/01/2099 07:20:00,1.610
01/01/2099 07:25:00,1.721
01/01/2099 07:30:00,2.238
01/01/2099 07:35:00,3.951
01/01/2099 07:40:00,4.302
01/01/2099 07:45:00,4.420
01/01/2099 07:50:00,4.416
01/01/2099 07:55:00,4.291
01/01/2099 08:00:00,3.840
01/01/2099 08:05:00,2.659
01/01/2099 08:10:00,2.271
01/01/2099 08:15:00,2.020
01/01/2099 08:20:00,1.813
01/01/2099 08:25:00,1.650
01/01/2099 08:30:00,1.573
01/01/2099 08:35:00,1.662
01/01/2099 08:40:00,1.569
01/01/2099 08:45:00,1.495
01/01/2099 08:50:00,1.422
01/01/2099 08:55:00,1.348
01/01/2099 09:00:00,1.278
01/01/2099 09:05:00,1.218
01/01/2099 09:10:00,1.163
01/01/2099 09:15:00,1.119
01/01/2099 09:20:00,1.074
01/01/2099 09:25:00,1.030
01/01/2099 09:30:00,1.004
01/01/2099 09:35:00,1.034
01/01/2099 09:40:00,1.034
01/01/2099 09:45:00,1.004
01/01/2099 09:50:00,0.975
01/01/2099 09:55:00,0.960
01/01/2099 10:00:00,0.953
01/01/2099 10:05:00,0.923
01/01/2099 10:10:00,0.886
01/01/2099 10:15:00,0.886
01/01/2099 10:20:00,0.886
01/01/2099 10:25:00,0.871
01/01/2099 10:30:00,0.857
01/01/2099 10:35:00,0.886
01/01/2099 10:40:00,0.849
01/01/2099 10:45:00,0.849
01/01/2099 10:50:00,0.849
01/01/2099 10:55:00,0.834
01/01/2099 11:00:00,0.812
01/01/2099 11:05:00,0.812
01/01/2099 11:10:00,0.775
01/01/2099 11:15:00,0.775
01/01/2099 11:20:00,0.775
01/01/2099 11:25:00,0.761
01/01/2099 11:30:00,0.735
01/01/2099 11:35:00,0.720
01/01/2099 11:40:00,0.702
01/01/2099 11:45:00,0.702
01/01/2099 11:50:00,0.702
01/01/2099 11:55:00,0.694
01/01/2099 12:00:00,0.683
01/01/2099 12:05:00,0.683
01/01/2099 12:10:00,0.702
