!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_Current_5y24h_Z5_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,2.341
01/01/2099 00:10:00,1.862
01/01/2099 00:15:00,1.791
01/01/2099 00:20:00,1.720
01/01/2099 00:25:00,1.649
01/01/2099 00:30:00,1.596
01/01/2099 00:35:00,1.596
01/01/2099 00:40:00,1.685
01/01/2099 00:45:00,1.756
01/01/2099 00:50:00,1.827
01/01/2099 00:55:00,1.898
01/01/2099 01:00:00,2.057
01/01/2099 01:05:00,2.483
01/01/2099 01:10:00,2.572
01/01/2099 01:15:00,2.643
01/01/2099 01:20:00,2.714
01/01/2099 01:25:00,2.784
01/01/2099 01:30:00,2.802
01/01/2099 01:35:00,2.660
01/01/2099 01:40:00,2.660
01/01/2099 01:45:00,2.589
01/01/2099 01:50:00,2.678
01/01/2099 01:55:00,2.714
01/01/2099 02:00:00,2.678
01/01/2099 02:05:00,2.749
01/01/2099 02:10:00,2.838
01/01/2099 02:15:00,2.838
01/01/2099 02:20:00,2.891
01/01/2099 02:25:00,2.891
01/01/2099 02:30:00,2.838
01/01/2099 02:35:00,2.838
01/01/2099 02:40:00,2.838
01/01/2099 02:45:00,2.838
01/01/2099 02:50:00,2.838
01/01/2099 02:55:00,2.838
01/01/2099 03:00:00,2.820
01/01/2099 03:05:00,2.749
01/01/2099 03:10:00,2.838
01/01/2099 03:15:00,2.838
01/01/2099 03:20:00,2.838
01/01/2099 03:25:00,2.873
01/01/2099 03:30:00,2.962
01/01/2099 03:35:00,3.104
01/01/2099 03:40:00,3.192
01/01/2099 03:45:00,3.121
01/01/2099 03:50:00,3.210
01/01/2099 03:55:00,3.281
01/01/2099 04:00:00,3.281
01/01/2099 04:05:00,3.281
01/01/2099 04:10:00,3.281
01/01/2099 04:15:00,3.352
01/01/2099 04:20:00,3.423
01/01/2099 04:25:00,3.458
01/01/2099 04:30:00,3.476
01/01/2099 04:35:00,3.547
01/01/2099 04:40:00,3.636
01/01/2099 04:45:00,3.707
01/01/2099 04:50:00,3.778
01/01/2099 04:55:00,3.849
01/01/2099 05:00:00,3.937
01/01/2099 05:05:00,4.079
01/01/2099 05:10:00,4.168
01/01/2099 05:15:00,4.239
01/01/2099 05:20:00,4.310
01/01/2099 05:25:00,4.381
01/01/2099 05:30:00,4.416
01/01/2099 05:35:00,4.345
01/01/2099 05:40:00,4.523
01/01/2099 05:45:00,4.593
01/01/2099 05:50:00,4.664
01/01/2099 05:55:00,4.771
01/01/2099 06:00:00,4.966
01/01/2099 06:05:00,5.321
01/01/2099 06:10:00,5.409
01/01/2099 06:15:00,5.480
01/01/2099 06:20:00,5.551
01/01/2099 06:25:00,5.622
01/01/2099 06:30:00,5.587
01/01/2099 06:35:00,5.232
01/01/2099 06:40:00,5.232
01/01/2099 06:45:00,5.374
01/01/2099 06:50:00,5.569
01/01/2099 06:55:00,5.782
01/01/2099 07:00:00,6.030
01/01/2099 07:05:00,6.385
01/01/2099 07:10:00,6.828
01/01/2099 07:15:00,7.254
01/01/2099 07:20:00,7.733
01/01/2099 07:25:00,8.265
01/01/2099 07:30:00,10.748
01/01/2099 07:35:00,18.977
01/01/2099 07:40:00,20.662
01/01/2099 07:45:00,21.229
01/01/2099 07:50:00,21.212
01/01/2099 07:55:00,20.609
01/01/2099 08:00:00,18.445
01/01/2099 08:05:00,12.770
01/01/2099 08:10:00,10.907
01/01/2099 08:15:00,9.701
01/01/2099 08:20:00,8.708
01/01/2099 08:25:00,7.928
01/01/2099 08:30:00,7.555
01/01/2099 08:35:00,7.981
01/01/2099 08:40:00,7.538
01/01/2099 08:45:00,7.183
01/01/2099 08:50:00,6.828
01/01/2099 08:55:00,6.473
01/01/2099 09:00:00,6.136
01/01/2099 09:05:00,5.853
01/01/2099 09:10:00,5.587
01/01/2099 09:15:00,5.374
01/01/2099 09:20:00,5.161
01/01/2099 09:25:00,4.948
01/01/2099 09:30:00,4.824
01/01/2099 09:35:00,4.966
01/01/2099 09:40:00,4.966
01/01/2099 09:45:00,4.824
01/01/2099 09:50:00,4.682
01/01/2099 09:55:00,4.611
01/01/2099 10:00:00,4.576
01/01/2099 10:05:00,4.434
01/01/2099 10:10:00,4.257
01/01/2099 10:15:00,4.257
01/01/2099 10:20:00,4.257
01/01/2099 10:25:00,4.186
01/01/2099 10:30:00,4.115
01/01/2099 10:35:00,4.257
01/01/2099 10:40:00,4.079
01/01/2099 10:45:00,4.079
01/01/2099 10:50:00,4.079
01/01/2099 10:55:00,4.008
01/01/2099 11:00:00,3.902
01/01/2099 11:05:00,3.902
01/01/2099 11:10:00,3.724
01/01/2099 11:15:00,3.724
01/01/2099 11:20:00,3.724
01/01/2099 11:25:00,3.654
01/01/2099 11:30:00,3.529
01/01/2099 11:35:00,3.458
01/01/2099 11:40:00,3.370
01/01/2099 11:45:00,3.370
01/01/2099 11:50:00,3.370
01/01/2099 11:55:00,3.334
01/01/2099 12:00:00,3.281
01/01/2099 12:05:00,3.281
01/01/2099 12:10:00,3.370
