!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2050High_5y24h_Z5_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,3.235
01/01/2099 00:10:00,2.573
01/01/2099 00:15:00,2.475
01/01/2099 00:20:00,2.377
01/01/2099 00:25:00,2.279
01/01/2099 00:30:00,2.206
01/01/2099 00:35:00,2.206
01/01/2099 00:40:00,2.328
01/01/2099 00:45:00,2.426
01/01/2099 00:50:00,2.524
01/01/2099 00:55:00,2.622
01/01/2099 01:00:00,2.843
01/01/2099 01:05:00,3.431
01/01/2099 01:10:00,3.554
01/01/2099 01:15:00,3.652
01/01/2099 01:20:00,3.750
01/01/2099 01:25:00,3.848
01/01/2099 01:30:00,3.872
01/01/2099 01:35:00,3.676
01/01/2099 01:40:00,3.676
01/01/2099 01:45:00,3.578
01/01/2099 01:50:00,3.701
01/01/2099 01:55:00,3.750
01/01/2099 02:00:00,3.701
01/01/2099 02:05:00,3.799
01/01/2099 02:10:00,3.921
01/01/2099 02:15:00,3.921
01/01/2099 02:20:00,3.995
01/01/2099 02:25:00,3.995
01/01/2099 02:30:00,3.921
01/01/2099 02:35:00,3.921
01/01/2099 02:40:00,3.921
01/01/2099 02:45:00,3.921
01/01/2099 02:50:00,3.921
01/01/2099 02:55:00,3.921
01/01/2099 03:00:00,3.897
01/01/2099 03:05:00,3.799
01/01/2099 03:10:00,3.921
01/01/2099 03:15:00,3.921
01/01/2099 03:20:00,3.921
01/01/2099 03:25:00,3.970
01/01/2099 03:30:00,4.093
01/01/2099 03:35:00,4.289
01/01/2099 03:40:00,4.412
01/01/2099 03:45:00,4.314
01/01/2099 03:50:00,4.436
01/01/2099 03:55:00,4.534
01/01/2099 04:00:00,4.534
01/01/2099 04:05:00,4.534
01/01/2099 04:10:00,4.534
01/01/2099 04:15:00,4.632
01/01/2099 04:20:00,4.730
01/01/2099 04:25:00,4.779
01/01/2099 04:30:00,4.804
01/01/2099 04:35:00,4.902
01/01/2099 04:40:00,5.024
01/01/2099 04:45:00,5.122
01/01/2099 04:50:00,5.220
01/01/2099 04:55:00,5.318
01/01/2099 05:00:00,5.441
01/01/2099 05:05:00,5.637
01/01/2099 05:10:00,5.760
01/01/2099 05:15:00,5.858
01/01/2099 05:20:00,5.956
01/01/2099 05:25:00,6.054
01/01/2099 05:30:00,6.103
01/01/2099 05:35:00,6.005
01/01/2099 05:40:00,6.250
01/01/2099 05:45:00,6.348
01/01/2099 05:50:00,6.446
01/01/2099 05:55:00,6.593
01/01/2099 06:00:00,6.862
01/01/2099 06:05:00,7.353
01/01/2099 06:10:00,7.475
01/01/2099 06:15:00,7.573
01/01/2099 06:20:00,7.671
01/01/2099 06:25:00,7.769
01/01/2099 06:30:00,7.720
01/01/2099 06:35:00,7.230
01/01/2099 06:40:00,7.230
01/01/2099 06:45:00,7.426
01/01/2099 06:50:00,7.696
01/01/2099 06:55:00,7.990
01/01/2099 07:00:00,8.333
01/01/2099 07:05:00,8.823
01/01/2099 07:10:00,9.436
01/01/2099 07:15:00,10.024
01/01/2099 07:20:00,10.686
01/01/2099 07:25:00,11.421
01/01/2099 07:30:00,14.852
01/01/2099 07:35:00,26.224
01/01/2099 07:40:00,28.553
01/01/2099 07:45:00,29.337
01/01/2099 07:50:00,29.312
01/01/2099 07:55:00,28.479
01/01/2099 08:00:00,25.489
01/01/2099 08:05:00,17.646
01/01/2099 08:10:00,15.073
01/01/2099 08:15:00,13.406
01/01/2099 08:20:00,12.034
01/01/2099 08:25:00,10.955
01/01/2099 08:30:00,10.441
01/01/2099 08:35:00,11.029
01/01/2099 08:40:00,10.416
01/01/2099 08:45:00,9.926
01/01/2099 08:50:00,9.436
01/01/2099 08:55:00,8.946
01/01/2099 09:00:00,8.480
01/01/2099 09:05:00,8.088
01/01/2099 09:10:00,7.720
01/01/2099 09:15:00,7.426
01/01/2099 09:20:00,7.132
01/01/2099 09:25:00,6.838
01/01/2099 09:30:00,6.666
01/01/2099 09:35:00,6.862
01/01/2099 09:40:00,6.862
01/01/2099 09:45:00,6.666
01/01/2099 09:50:00,6.470
01/01/2099 09:55:00,6.372
01/01/2099 10:00:00,6.323
01/01/2099 10:05:00,6.127
01/01/2099 10:10:00,5.882
01/01/2099 10:15:00,5.882
01/01/2099 10:20:00,5.882
01/01/2099 10:25:00,5.784
01/01/2099 10:30:00,5.686
01/01/2099 10:35:00,5.882
01/01/2099 10:40:00,5.637
01/01/2099 10:45:00,5.637
01/01/2099 10:50:00,5.637
01/01/2099 10:55:00,5.539
01/01/2099 11:00:00,5.392
01/01/2099 11:05:00,5.392
01/01/2099 11:10:00,5.147
01/01/2099 11:15:00,5.147
01/01/2099 11:20:00,5.147
01/01/2099 11:25:00,5.049
01/01/2099 11:30:00,4.877
01/01/2099 11:35:00,4.779
01/01/2099 11:40:00,4.657
01/01/2099 11:45:00,4.657
01/01/2099 11:50:00,4.657
01/01/2099 11:55:00,4.608
01/01/2099 12:00:00,4.534
01/01/2099 12:05:00,4.534
01/01/2099 12:10:00,4.657
