!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2050Moderate_10y24h_Z5_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,3.143
01/01/2099 00:10:00,2.500
01/01/2099 00:15:00,2.405
01/01/2099 00:20:00,2.309
01/01/2099 00:25:00,2.214
01/01/2099 00:30:00,2.143
01/01/2099 00:35:00,2.143
01/01/2099 00:40:00,2.262
01/01/2099 00:45:00,2.357
01/01/2099 00:50:00,2.452
01/01/2099 00:55:00,2.547
01/01/2099 01:00:00,2.762
01/01/2099 01:05:00,3.333
01/01/2099 01:10:00,3.452
01/01/2099 01:15:00,3.547
01/01/2099 01:20:00,3.643
01/01/2099 01:25:00,3.738
01/01/2099 01:30:00,3.762
01/01/2099 01:35:00,3.571
01/01/2099 01:40:00,3.571
01/01/2099 01:45:00,3.476
01/01/2099 01:50:00,3.595
01/01/2099 01:55:00,3.643
01/01/2099 02:00:00,3.595
01/01/2099 02:05:00,3.690
01/01/2099 02:10:00,3.809
01/01/2099 02:15:00,3.809
01/01/2099 02:20:00,3.881
01/01/2099 02:25:00,3.881
01/01/2099 02:30:00,3.809
01/01/2099 02:35:00,3.809
01/01/2099 02:40:00,3.809
01/01/2099 02:45:00,3.809
01/01/2099 02:50:00,3.809
01/01/2099 02:55:00,3.809
01/01/2099 03:00:00,3.785
01/01/2099 03:05:00,3.690
01/01/2099 03:10:00,3.809
01/01/2099 03:15:00,3.809
01/01/2099 03:20:00,3.809
01/01/2099 03:25:00,3.857
01/01/2099 03:30:00,3.976
01/01/2099 03:35:00,4.166
01/01/2099 03:40:00,4.285
01/01/2099 03:45:00,4.190
01/01/2099 03:50:00,4.309
01/01/2099 03:55:00,4.405
01/01/2099 04:00:00,4.405
01/01/2099 04:05:00,4.405
01/01/2099 04:10:00,4.405
01/01/2099 04:15:00,4.500
01/01/2099 04:20:00,4.595
01/01/2099 04:25:00,4.643
01/01/2099 04:30:00,4.666
01/01/2099 04:35:00,4.762
01/01/2099 04:40:00,4.881
01/01/2099 04:45:00,4.976
01/01/2099 04:50:00,5.071
01/01/2099 04:55:00,5.166
01/01/2099 05:00:00,5.285
01/01/2099 05:05:00,5.476
01/01/2099 05:10:00,5.595
01/01/2099 05:15:00,5.690
01/01/2099 05:20:00,5.785
01/01/2099 05:25:00,5.881
01/01/2099 05:30:00,5.928
01/01/2099 05:35:00,5.833
01/01/2099 05:40:00,6.071
01/01/2099 05:45:00,6.166
01/01/2099 05:50:00,6.262
01/01/2099 05:55:00,6.404
01/01/2099 06:00:00,6.666
01/01/2099 06:05:00,7.142
01/01/2099 06:10:00,7.261
01/01/2099 06:15:00,7.357
01/01/2099 06:20:00,7.452
01/01/2099 06:25:00,7.547
01/01/2099 06:30:00,7.500
01/01/2099 06:35:00,7.023
01/01/2099 06:40:00,7.023
01/01/2099 06:45:00,7.214
01/01/2099 06:50:00,7.476
01/01/2099 06:55:00,7.761
01/01/2099 07:00:00,8.095
01/01/2099 07:05:00,8.571
01/01/2099 07:10:00,9.166
01/01/2099 07:15:00,9.738
01/01/2099 07:20:00,10.380
01/01/2099 07:25:00,11.095
01/01/2099 07:30:00,14.428
01/01/2099 07:35:00,25.475
01/01/2099 07:40:00,27.737
01/01/2099 07:45:00,28.498
01/01/2099 07:50:00,28.475
01/01/2099 07:55:00,27.665
01/01/2099 08:00:00,24.760
01/01/2099 08:05:00,17.142
01/01/2099 08:10:00,14.642
01/01/2099 08:15:00,13.023
01/01/2099 08:20:00,11.690
01/01/2099 08:25:00,10.642
01/01/2099 08:30:00,10.142
01/01/2099 08:35:00,10.714
01/01/2099 08:40:00,10.118
01/01/2099 08:45:00,9.642
01/01/2099 08:50:00,9.166
01/01/2099 08:55:00,8.690
01/01/2099 09:00:00,8.238
01/01/2099 09:05:00,7.857
01/01/2099 09:10:00,7.500
01/01/2099 09:15:00,7.214
01/01/2099 09:20:00,6.928
01/01/2099 09:25:00,6.642
01/01/2099 09:30:00,6.476
01/01/2099 09:35:00,6.666
01/01/2099 09:40:00,6.666
01/01/2099 09:45:00,6.476
01/01/2099 09:50:00,6.285
01/01/2099 09:55:00,6.190
01/01/2099 10:00:00,6.143
01/01/2099 10:05:00,5.952
01/01/2099 10:10:00,5.714
01/01/2099 10:15:00,5.714
01/01/2099 10:20:00,5.714
01/01/2099 10:25:00,5.619
01/01/2099 10:30:00,5.523
01/01/2099 10:35:00,5.714
01/01/2099 10:40:00,5.476
01/01/2099 10:45:00,5.476
01/01/2099 10:50:00,5.476
01/01/2099 10:55:00,5.381
01/01/2099 11:00:00,5.238
01/01/2099 11:05:00,5.238
01/01/2099 11:10:00,5.000
01/01/2099 11:15:00,5.000
01/01/2099 11:20:00,5.000
01/01/2099 11:25:00,4.904
01/01/2099 11:30:00,4.738
01/01/2099 11:35:00,4.643
01/01/2099 11:40:00,4.524
01/01/2099 11:45:00,4.524
01/01/2099 11:50:00,4.524
01/01/2099 11:55:00,4.476
01/01/2099 12:00:00,4.405
01/01/2099 12:05:00,4.405
01/01/2099 12:10:00,4.524
