!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2100High_10y24h_Z1N_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,4.246
01/01/2099 00:10:00,3.377
01/01/2099 00:15:00,3.249
01/01/2099 00:20:00,3.120
01/01/2099 00:25:00,2.991
01/01/2099 00:30:00,2.895
01/01/2099 00:35:00,2.895
01/01/2099 00:40:00,3.056
01/01/2099 00:45:00,3.184
01/01/2099 00:50:00,3.313
01/01/2099 00:55:00,3.442
01/01/2099 01:00:00,3.731
01/01/2099 01:05:00,4.503
01/01/2099 01:10:00,4.664
01/01/2099 01:15:00,4.792
01/01/2099 01:20:00,4.921
01/01/2099 01:25:00,5.050
01/01/2099 01:30:00,5.082
01/01/2099 01:35:00,4.825
01/01/2099 01:40:00,4.825
01/01/2099 01:45:00,4.696
01/01/2099 01:50:00,4.857
01/01/2099 01:55:00,4.921
01/01/2099 02:00:00,4.857
01/01/2099 02:05:00,4.985
01/01/2099 02:10:00,5.146
01/01/2099 02:15:00,5.146
01/01/2099 02:20:00,5.243
01/01/2099 02:25:00,5.243
01/01/2099 02:30:00,5.146
01/01/2099 02:35:00,5.146
01/01/2099 02:40:00,5.146
01/01/2099 02:45:00,5.146
01/01/2099 02:50:00,5.146
01/01/2099 02:55:00,5.146
01/01/2099 03:00:00,5.114
01/01/2099 03:05:00,4.985
01/01/2099 03:10:00,5.146
01/01/2099 03:15:00,5.146
01/01/2099 03:20:00,5.146
01/01/2099 03:25:00,5.211
01/01/2099 03:30:00,5.371
01/01/2099 03:35:00,5.629
01/01/2099 03:40:00,5.790
01/01/2099 03:45:00,5.661
01/01/2099 03:50:00,5.822
01/01/2099 03:55:00,5.950
01/01/2099 04:00:00,5.950
01/01/2099 04:05:00,5.950
01/01/2099 04:10:00,5.950
01/01/2099 04:15:00,6.079
01/01/2099 04:20:00,6.208
01/01/2099 04:25:00,6.272
01/01/2099 04:30:00,6.304
01/01/2099 04:35:00,6.433
01/01/2099 04:40:00,6.594
01/01/2099 04:45:00,6.722
01/01/2099 04:50:00,6.851
01/01/2099 04:55:00,6.980
01/01/2099 05:00:00,7.140
01/01/2099 05:05:00,7.398
01/01/2099 05:10:00,7.559
01/01/2099 05:15:00,7.687
01/01/2099 05:20:00,7.816
01/01/2099 05:25:00,7.945
01/01/2099 05:30:00,8.009
01/01/2099 05:35:00,7.880
01/01/2099 05:40:00,8.202
01/01/2099 05:45:00,8.330
01/01/2099 05:50:00,8.459
01/01/2099 05:55:00,8.652
01/01/2099 06:00:00,9.006
01/01/2099 06:05:00,9.649
01/01/2099 06:10:00,9.810
01/01/2099 06:15:00,9.939
01/01/2099 06:20:00,10.067
01/01/2099 06:25:00,10.196
01/01/2099 06:30:00,10.132
01/01/2099 06:35:00,9.488
01/01/2099 06:40:00,9.488
01/01/2099 06:45:00,9.746
01/01/2099 06:50:00,10.099
01/01/2099 06:55:00,10.485
01/01/2099 07:00:00,10.936
01/01/2099 07:05:00,11.579
01/01/2099 07:10:00,12.383
01/01/2099 07:15:00,13.155
01/01/2099 07:20:00,14.023
01/01/2099 07:25:00,14.988
01/01/2099 07:30:00,19.491
01/01/2099 07:35:00,34.415
01/01/2099 07:40:00,37.471
01/01/2099 07:45:00,38.500
01/01/2099 07:50:00,38.468
01/01/2099 07:55:00,37.375
01/01/2099 08:00:00,33.451
01/01/2099 08:05:00,23.158
01/01/2099 08:10:00,19.781
01/01/2099 08:15:00,17.594
01/01/2099 08:20:00,15.793
01/01/2099 08:25:00,14.377
01/01/2099 08:30:00,13.702
01/01/2099 08:35:00,14.474
01/01/2099 08:40:00,13.670
01/01/2099 08:45:00,13.026
01/01/2099 08:50:00,12.383
01/01/2099 08:55:00,11.740
01/01/2099 09:00:00,11.129
01/01/2099 09:05:00,10.614
01/01/2099 09:10:00,10.132
01/01/2099 09:15:00,9.746
01/01/2099 09:20:00,9.360
01/01/2099 09:25:00,8.974
01/01/2099 09:30:00,8.749
01/01/2099 09:35:00,9.006
01/01/2099 09:40:00,9.006
01/01/2099 09:45:00,8.749
01/01/2099 09:50:00,8.491
01/01/2099 09:55:00,8.363
01/01/2099 10:00:00,8.298
01/01/2099 10:05:00,8.041
01/01/2099 10:10:00,7.719
01/01/2099 10:15:00,7.719
01/01/2099 10:20:00,7.719
01/01/2099 10:25:00,7.591
01/01/2099 10:30:00,7.462
01/01/2099 10:35:00,7.719
01/01/2099 10:40:00,7.398
01/01/2099 10:45:00,7.398
01/01/2099 10:50:00,7.398
01/01/2099 10:55:00,7.269
01/01/2099 11:00:00,7.076
01/01/2099 11:05:00,7.076
01/01/2099 11:10:00,6.754
01/01/2099 11:15:00,6.754
01/01/2099 11:20:00,6.754
01/01/2099 11:25:00,6.626
01/01/2099 11:30:00,6.401
01/01/2099 11:35:00,6.272
01/01/2099 11:40:00,6.111
01/01/2099 11:45:00,6.111
01/01/2099 11:50:00,6.111
01/01/2099 11:55:00,6.047
01/01/2099 12:00:00,5.950
01/01/2099 12:05:00,5.950
01/01/2099 12:10:00,6.111
