!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2100Moderate_5y24h_Z1N_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,2.933
01/01/2099 00:10:00,2.333
01/01/2099 00:15:00,2.244
01/01/2099 00:20:00,2.155
01/01/2099 00:25:00,2.066
01/01/2099 00:30:00,1.999
01/01/2099 00:35:00,1.999
01/01/2099 00:40:00,2.111
01/01/2099 00:45:00,2.199
01/01/2099 00:50:00,2.288
01/01/2099 00:55:00,2.377
01/01/2099 01:00:00,2.577
01/01/2099 01:05:00,3.110
01/01/2099 01:10:00,3.221
01/01/2099 01:15:00,3.310
01/01/2099 01:20:00,3.399
01/01/2099 01:25:00,3.488
01/01/2099 01:30:00,3.510
01/01/2099 01:35:00,3.332
01/01/2099 01:40:00,3.332
01/01/2099 01:45:00,3.244
01/01/2099 01:50:00,3.355
01/01/2099 01:55:00,3.399
01/01/2099 02:00:00,3.355
01/01/2099 02:05:00,3.443
01/01/2099 02:10:00,3.555
01/01/2099 02:15:00,3.555
01/01/2099 02:20:00,3.621
01/01/2099 02:25:00,3.621
01/01/2099 02:30:00,3.555
01/01/2099 02:35:00,3.555
01/01/2099 02:40:00,3.555
01/01/2099 02:45:00,3.555
01/01/2099 02:50:00,3.555
01/01/2099 02:55:00,3.555
01/01/2099 03:00:00,3.532
01/01/2099 03:05:00,3.443
01/01/2099 03:10:00,3.555
01/01/2099 03:15:00,3.555
01/01/2099 03:20:00,3.555
01/01/2099 03:25:00,3.599
01/01/2099 03:30:00,3.710
01/01/2099 03:35:00,3.888
01/01/2099 03:40:00,3.999
01/01/2099 03:45:00,3.910
01/01/2099 03:50:00,4.021
01/01/2099 03:55:00,4.110
01/01/2099 04:00:00,4.110
01/01/2099 04:05:00,4.110
01/01/2099 04:10:00,4.110
01/01/2099 04:15:00,4.199
01/01/2099 04:20:00,4.288
01/01/2099 04:25:00,4.332
01/01/2099 04:30:00,4.354
01/01/2099 04:35:00,4.443
01/01/2099 04:40:00,4.554
01/01/2099 04:45:00,4.643
01/01/2099 04:50:00,4.732
01/01/2099 04:55:00,4.821
01/01/2099 05:00:00,4.932
01/01/2099 05:05:00,5.110
01/01/2099 05:10:00,5.221
01/01/2099 05:15:00,5.310
01/01/2099 05:20:00,5.399
01/01/2099 05:25:00,5.487
01/01/2099 05:30:00,5.532
01/01/2099 05:35:00,5.443
01/01/2099 05:40:00,5.665
01/01/2099 05:45:00,5.754
01/01/2099 05:50:00,5.843
01/01/2099 05:55:00,5.976
01/01/2099 06:00:00,6.221
01/01/2099 06:05:00,6.665
01/01/2099 06:10:00,6.776
01/01/2099 06:15:00,6.865
01/01/2099 06:20:00,6.954
01/01/2099 06:25:00,7.043
01/01/2099 06:30:00,6.998
01/01/2099 06:35:00,6.554
01/01/2099 06:40:00,6.554
01/01/2099 06:45:00,6.731
01/01/2099 06:50:00,6.976
01/01/2099 06:55:00,7.242
01/01/2099 07:00:00,7.553
01/01/2099 07:05:00,7.998
01/01/2099 07:10:00,8.553
01/01/2099 07:15:00,9.086
01/01/2099 07:20:00,9.686
01/01/2099 07:25:00,10.353
01/01/2099 07:30:00,13.463
01/01/2099 07:35:00,23.771
01/01/2099 07:40:00,25.882
01/01/2099 07:45:00,26.593
01/01/2099 07:50:00,26.570
01/01/2099 07:55:00,25.815
01/01/2099 08:00:00,23.105
01/01/2099 08:05:00,15.996
01/01/2099 08:10:00,13.663
01/01/2099 08:15:00,12.152
01/01/2099 08:20:00,10.908
01/01/2099 08:25:00,9.931
01/01/2099 08:30:00,9.464
01/01/2099 08:35:00,9.997
01/01/2099 08:40:00,9.442
01/01/2099 08:45:00,8.998
01/01/2099 08:50:00,8.553
01/01/2099 08:55:00,8.109
01/01/2099 09:00:00,7.687
01/01/2099 09:05:00,7.331
01/01/2099 09:10:00,6.998
01/01/2099 09:15:00,6.731
01/01/2099 09:20:00,6.465
01/01/2099 09:25:00,6.198
01/01/2099 09:30:00,6.043
01/01/2099 09:35:00,6.221
01/01/2099 09:40:00,6.221
01/01/2099 09:45:00,6.043
01/01/2099 09:50:00,5.865
01/01/2099 09:55:00,5.776
01/01/2099 10:00:00,5.732
01/01/2099 10:05:00,5.554
01/01/2099 10:10:00,5.332
01/01/2099 10:15:00,5.332
01/01/2099 10:20:00,5.332
01/01/2099 10:25:00,5.243
01/01/2099 10:30:00,5.154
01/01/2099 10:35:00,5.332
01/01/2099 10:40:00,5.110
01/01/2099 10:45:00,5.110
01/01/2099 10:50:00,5.110
01/01/2099 10:55:00,5.021
01/01/2099 11:00:00,4.888
01/01/2099 11:05:00,4.888
01/01/2099 11:10:00,4.665
01/01/2099 11:15:00,4.665
01/01/2099 11:20:00,4.665
01/01/2099 11:25:00,4.577
01/01/2099 11:30:00,4.421
01/01/2099 11:35:00,4.332
01/01/2099 11:40:00,4.221
01/01/2099 11:45:00,4.221
01/01/2099 11:50:00,4.221
01/01/2099 11:55:00,4.177
01/01/2099 12:00:00,4.110
01/01/2099 12:05:00,4.110
01/01/2099 12:10:00,4.221
