!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_Current_10y24h_Z1S_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,2.080
01/01/2099 00:10:00,1.655
01/01/2099 00:15:00,1.592
01/01/2099 00:20:00,1.529
01/01/2099 00:25:00,1.466
01/01/2099 00:30:00,1.418
01/01/2099 00:35:00,1.418
01/01/2099 00:40:00,1.497
01/01/2099 00:45:00,1.560
01/01/2099 00:50:00,1.623
01/01/2099 00:55:00,1.686
01/01/2099 01:00:00,1.828
01/01/2099 01:05:00,2.206
01/01/2099 01:10:00,2.285
01/01/2099 01:15:00,2.348
01/01/2099 01:20:00,2.411
01/01/2099 01:25:00,2.474
01/01/2099 01:30:00,2.490
01/01/2099 01:35:00,2.364
01/01/2099 01:40:00,2.364
01/01/2099 01:45:00,2.301
01/01/2099 01:50:00,2.380
01/01/2099 01:55:00,2.411
01/01/2099 02:00:00,2.380
01/01/2099 02:05:00,2.443
01/01/2099 02:10:00,2.522
01/01/2099 02:15:00,2.522
01/01/2099 02:20:00,2.569
01/01/2099 02:25:00,2.569
01/01/2099 02:30:00,2.522
01/01/2099 02:35:00,2.522
01/01/2099 02:40:00,2.522
01/01/2099 02:45:00,2.522
01/01/2099 02:50:00,2.522
01/01/2099 02:55:00,2.522
01/01/2099 03:00:00,2.506
01/01/2099 03:05:00,2.443
01/01/2099 03:10:00,2.522
01/01/2099 03:15:00,2.522
01/01/2099 03:20:00,2.522
01/01/2099 03:25:00,2.553
01/01/2099 03:30:00,2.632
01/01/2099 03:35:00,2.758
01/01/2099 03:40:00,2.837
01/01/2099 03:45:00,2.774
01/01/2099 03:50:00,2.853
01/01/2099 03:55:00,2.916
01/01/2099 04:00:00,2.916
01/01/2099 04:05:00,2.916
01/01/2099 04:10:00,2.916
01/01/2099 04:15:00,2.979
01/01/2099 04:20:00,3.042
01/01/2099 04:25:00,3.073
01/01/2099 04:30:00,3.089
01/01/2099 04:35:00,3.152
01/01/2099 04:40:00,3.231
01/01/2099 04:45:00,3.294
01/01/2099 04:50:00,3.357
01/01/2099 04:55:00,3.420
01/01/2099 05:00:00,3.499
01/01/2099 05:05:00,3.625
01/01/2099 05:10:00,3.704
01/01/2099 05:15:00,3.767
01/01/2099 05:20:00,3.830
01/01/2099 05:25:00,3.893
01/01/2099 05:30:00,3.924
01/01/2099 05:35:00,3.861
01/01/2099 05:40:00,4.019
01/01/2099 05:45:00,4.082
01/01/2099 05:50:00,4.145
01/01/2099 05:55:00,4.239
01/01/2099 06:00:00,4.413
01/01/2099 06:05:00,4.728
01/01/2099 06:10:00,4.807
01/01/2099 06:15:00,4.870
01/01/2099 06:20:00,4.933
01/01/2099 06:25:00,4.996
01/01/2099 06:30:00,4.964
01/01/2099 06:35:00,4.649
01/01/2099 06:40:00,4.649
01/01/2099 06:45:00,4.775
01/01/2099 06:50:00,4.949
01/01/2099 06:55:00,5.138
01/01/2099 07:00:00,5.358
01/01/2099 07:05:00,5.674
01/01/2099 07:10:00,6.068
01/01/2099 07:15:00,6.446
01/01/2099 07:20:00,6.871
01/01/2099 07:25:00,7.344
01/01/2099 07:30:00,9.550
01/01/2099 07:35:00,16.863
01/01/2099 07:40:00,18.360
01/01/2099 07:45:00,18.865
01/01/2099 07:50:00,18.849
01/01/2099 07:55:00,18.313
01/01/2099 08:00:00,16.390
01/01/2099 08:05:00,11.347
01/01/2099 08:10:00,9.692
01/01/2099 08:15:00,8.621
01/01/2099 08:20:00,7.738
01/01/2099 08:25:00,7.045
01/01/2099 08:30:00,6.714
01/01/2099 08:35:00,7.092
01/01/2099 08:40:00,6.698
01/01/2099 08:45:00,6.383
01/01/2099 08:50:00,6.068
01/01/2099 08:55:00,5.752
01/01/2099 09:00:00,5.453
01/01/2099 09:05:00,5.201
01/01/2099 09:10:00,4.964
01/01/2099 09:15:00,4.775
01/01/2099 09:20:00,4.586
01/01/2099 09:25:00,4.397
01/01/2099 09:30:00,4.287
01/01/2099 09:35:00,4.413
01/01/2099 09:40:00,4.413
01/01/2099 09:45:00,4.287
01/01/2099 09:50:00,4.161
01/01/2099 09:55:00,4.098
01/01/2099 10:00:00,4.066
01/01/2099 10:05:00,3.940
01/01/2099 10:10:00,3.782
01/01/2099 10:15:00,3.782
01/01/2099 10:20:00,3.782
01/01/2099 10:25:00,3.719
01/01/2099 10:30:00,3.656
01/01/2099 10:35:00,3.782
01/01/2099 10:40:00,3.625
01/01/2099 10:45:00,3.625
01/01/2099 10:50:00,3.625
01/01/2099 10:55:00,3.562
01/01/2099 11:00:00,3.467
01/01/2099 11:05:00,3.467
01/01/2099 11:10:00,3.310
01/01/2099 11:15:00,3.310
01/01/2099 11:20:00,3.310
01/01/2099 11:25:00,3.247
01/01/2099 11:30:00,3.136
01/01/2099 11:35:00,3.073
01/01/2099 11:40:00,2.994
01/01/2099 11:45:00,2.994
01/01/2099 11:50:00,2.994
01/01/2099 11:55:00,2.963
01/01/2099 12:00:00,2.916
01/01/2099 12:05:00,2.916
01/01/2099 12:10:00,2.994
