!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2050Moderate_200y24h_Z1N_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,4.395
01/01/2099 00:10:00,3.496
01/01/2099 00:15:00,3.363
01/01/2099 00:20:00,3.229
01/01/2099 00:25:00,3.096
01/01/2099 00:30:00,2.996
01/01/2099 00:35:00,2.996
01/01/2099 00:40:00,3.163
01/01/2099 00:45:00,3.296
01/01/2099 00:50:00,3.429
01/01/2099 00:55:00,3.562
01/01/2099 01:00:00,3.862
01/01/2099 01:05:00,4.661
01/01/2099 01:10:00,4.827
01/01/2099 01:15:00,4.961
01/01/2099 01:20:00,5.094
01/01/2099 01:25:00,5.227
01/01/2099 01:30:00,5.260
01/01/2099 01:35:00,4.994
01/01/2099 01:40:00,4.994
01/01/2099 01:45:00,4.861
01/01/2099 01:50:00,5.027
01/01/2099 01:55:00,5.094
01/01/2099 02:00:00,5.027
01/01/2099 02:05:00,5.160
01/01/2099 02:10:00,5.327
01/01/2099 02:15:00,5.327
01/01/2099 02:20:00,5.427
01/01/2099 02:25:00,5.427
01/01/2099 02:30:00,5.327
01/01/2099 02:35:00,5.327
01/01/2099 02:40:00,5.327
01/01/2099 02:45:00,5.327
01/01/2099 02:50:00,5.327
01/01/2099 02:55:00,5.327
01/01/2099 03:00:00,5.294
01/01/2099 03:05:00,5.160
01/01/2099 03:10:00,5.327
01/01/2099 03:15:00,5.327
01/01/2099 03:20:00,5.327
01/01/2099 03:25:00,5.393
01/01/2099 03:30:00,5.560
01/01/2099 03:35:00,5.826
01/01/2099 03:40:00,5.993
01/01/2099 03:45:00,5.860
01/01/2099 03:50:00,6.026
01/01/2099 03:55:00,6.159
01/01/2099 04:00:00,6.159
01/01/2099 04:05:00,6.159
01/01/2099 04:10:00,6.159
01/01/2099 04:15:00,6.292
01/01/2099 04:20:00,6.426
01/01/2099 04:25:00,6.492
01/01/2099 04:30:00,6.525
01/01/2099 04:35:00,6.659
01/01/2099 04:40:00,6.825
01/01/2099 04:45:00,6.958
01/01/2099 04:50:00,7.091
01/01/2099 04:55:00,7.225
01/01/2099 05:00:00,7.391
01/01/2099 05:05:00,7.657
01/01/2099 05:10:00,7.824
01/01/2099 05:15:00,7.957
01/01/2099 05:20:00,8.090
01/01/2099 05:25:00,8.223
01/01/2099 05:30:00,8.290
01/01/2099 05:35:00,8.157
01/01/2099 05:40:00,8.490
01/01/2099 05:45:00,8.623
01/01/2099 05:50:00,8.756
01/01/2099 05:55:00,8.956
01/01/2099 06:00:00,9.322
01/01/2099 06:05:00,9.988
01/01/2099 06:10:00,10.154
01/01/2099 06:15:00,10.287
01/01/2099 06:20:00,10.421
01/01/2099 06:25:00,10.554
01/01/2099 06:30:00,10.487
01/01/2099 06:35:00,9.821
01/01/2099 06:40:00,9.821
01/01/2099 06:45:00,10.088
01/01/2099 06:50:00,10.454
01/01/2099 06:55:00,10.853
01/01/2099 07:00:00,11.320
01/01/2099 07:05:00,11.985
01/01/2099 07:10:00,12.818
01/01/2099 07:15:00,13.617
01/01/2099 07:20:00,14.516
01/01/2099 07:25:00,15.514
01/01/2099 07:30:00,20.175
01/01/2099 07:35:00,35.623
01/01/2099 07:40:00,38.786
01/01/2099 07:45:00,39.851
01/01/2099 07:50:00,39.818
01/01/2099 07:55:00,38.686
01/01/2099 08:00:00,34.624
01/01/2099 08:05:00,23.971
01/01/2099 08:10:00,20.475
01/01/2099 08:15:00,18.211
01/01/2099 08:20:00,16.347
01/01/2099 08:25:00,14.882
01/01/2099 08:30:00,14.183
01/01/2099 08:35:00,14.982
01/01/2099 08:40:00,14.149
01/01/2099 08:45:00,13.484
01/01/2099 08:50:00,12.818
01/01/2099 08:55:00,12.152
01/01/2099 09:00:00,11.519
01/01/2099 09:05:00,10.987
01/01/2099 09:10:00,10.487
01/01/2099 09:15:00,10.088
01/01/2099 09:20:00,9.688
01/01/2099 09:25:00,9.289
01/01/2099 09:30:00,9.056
01/01/2099 09:35:00,9.322
01/01/2099 09:40:00,9.322
01/01/2099 09:45:00,9.056
01/01/2099 09:50:00,8.789
01/01/2099 09:55:00,8.656
01/01/2099 10:00:00,8.590
01/01/2099 10:05:00,8.323
01/01/2099 10:10:00,7.990
01/01/2099 10:15:00,7.990
01/01/2099 10:20:00,7.990
01/01/2099 10:25:00,7.857
01/01/2099 10:30:00,7.724
01/01/2099 10:35:00,7.990
01/01/2099 10:40:00,7.657
01/01/2099 10:45:00,7.657
01/01/2099 10:50:00,7.657
01/01/2099 10:55:00,7.524
01/01/2099 11:00:00,7.324
01/01/2099 11:05:00,7.324
01/01/2099 11:10:00,6.991
01/01/2099 11:15:00,6.991
01/01/2099 11:20:00,6.991
01/01/2099 11:25:00,6.858
01/01/2099 11:30:00,6.625
01/01/2099 11:35:00,6.492
01/01/2099 11:40:00,6.326
01/01/2099 11:45:00,6.326
01/01/2099 11:50:00,6.326
01/01/2099 11:55:00,6.259
01/01/2099 12:00:00,6.159
01/01/2099 12:05:00,6.159
01/01/2099 12:10:00,6.326
